tag:Ps-chapter-138 -is:review
Psalm:106 (score=41.91752577319588)
Psalm:45 (score=41.80172413793103)
Psalm:89 (score=41.47867298578199)
Psalm:60 (score=41.31521739130435)
Psalm:73 (score=40.326241134751776)
Psalm:18 (score=39.478813559322035)
Psalm:107 (score=39.40828402366864)
Psalm:65 (score=35.95876288659794)
Psalm:104 (score=34.96067415730337)
Psalm:119 (score=33.642201834862384)
Psalm:150 (score=33.5)
Psalm:78 (score=32.15409836065574)
Psalm:68 (score=30.335051546391753)
